COMMODITY,APRIL,MAY,JUNE,JULY,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,TOTAL
PINE APPLE,5734.8,6375.3,5640.0,6020.8,5086.4,5257.8,5854.1,5137.7,4230.0,3611.1,4692.5,4641.5,62282.0
PLUM,39.4,248.9,4631.2,4788.0,319.4,31.4,56.4,75.1,25.9,2.6,20.5,17.4,10256.2
RASBERRY,,,,,,,3.0,,5.0,88.4,281.2,175.3,552.9
SUGARCANE,1589.0,2267.8,1779.7,1071.2,856.8,1017.3,731.3,741.4,214.0,317.2,719.6,1321.9,12627.2
STRAWBERRY,85.7,8.0,0.1,,,,1.3,19.3,100.2,228.6,363.7,248.9,1055.8
SARDA,492.3,196.0,365.2,309.9,247.7,195.8,215.1,183.0,224.7,284.3,380.1,455.0,3549.1
WATER C.N.,5.3,3.5,,0.2,5.4,1076.7,5958.9,2914.2,168.0,,,,10132.2
WATERMELON,20121.5,29153.7,15296.2,4298.9,1832.0,2637.5,3629.9,4380.8,2887.6,3446.8,5478.9,7701.7,100865.5
WALLNUT,,,,1.8,,,,,,,,,1.8
ASPERAGUS,18.4,5.4,3.5,1.4,2.3,3.6,4.0,3.9,3.7,2.4,1.4,2.7,52.7
IMLI,28.4,22.0,9.1,27.6,4.0,10.0,20.8,24.9,7.0,20.0,38.4,21.4,233.6
SHANDONG,12.6,11.6,1.4,,,15.4,36.2,56.2,67.5,77.8,86.3,52.4,417.4
YAPEAR,3.0,,,,,5.3,4.9,5.3,13.7,39.0,55.3,20.3,146.8
DRAGAN,41.0,35.6,35.3,3.5,7.2,3.6,27.1,33.4,32.8,60.5,85.2,38.1,403.3
RAMBRITAN,,,,,,,,,,0.2,0.2,,0.4
LAMBODANA,,,,,0.3,0.7,2.2,3.9,5.4,3.6,6.6,3.8,26.5
AVACADA,,,,,,,,,,1.2,0.4,,1.6
FIG,,,,,,,,,,0.3,3.3,2.7,6.3
SNOW PEAS,,,,,,,,,,,,,0.0
ROSEMARY,,,,,,,,,,,,,0.0
THYSAM,,,,,,,,,,,,,0.0
CHERRY TOMATO,0.9,2.3,,0.1,,,,,,,,,3.3
LEMON,,,,,,,,,,,,,0.0
TOTAL,149034.1,173520.7,180558.5,190210.3,197493.1,230279.5,255716.9,196239.8,168617.8,145504.8,145610.6,143710.5,2176496.6
